English Sentences,Hindi Reference Sentences
The Bastar tribal community celebrates almost every and even the most miniscule events that are of little significance.,बस्तर जनजाति समुदाय लगभग प्रत्येक और सबसे छोटे उपकरणों के अवसर भी जो कम महत्वपूर्ण है को मनाता है।
The best part about Kerala's towns and cities is that each of them will offer you a different experience.,केरल के कस्बों और शहरों का सबसे अच्छा भाग है कि इनमें से प्रत्येक आपको अलग अनुभव प्रदान करेगा।
The Indian freedom struggle has its roots in this state where Mahatma Gandhi led the Quit India Movement against the Britishers.,भारतीय स्वतंत्रता संघर्ष राज्य में अपनी जड़े रखता है जहां महात्मा गांधी ने अंग्रेजों के खिलाफ भारत छोड़ो आन्दोलन का नेतृत्व किया था। 
My mother has never had to punish her children.,मेरी मां उसके बच्चे को कभी दण्डित नहीं करती है।
The Khajuraho temples are rich because of the sculptural treasure that resides on the walls of these temples.,वास्तुशिल्पीय खजाने जो इन मंदिरों की दिवारों पर रहता है के कारण खजुराहो मंदिर समृद्ध हैं 
"The only city in the world that has been inhabited for 4000 years, Varanasi, is known for its magnificent Ghats on the river Ganges.","विश्व में एकमात्र शहर जो 4000 वर्षों से बसा हुआ है, वाराणसी, गंगा नदी पर अपने शानदार घाटों के लिए प्रसिद्ध है।"
The ornaments made in these areas are a little weird in their appearance as they are made especially for the tribal women and men.,इन क्षेत्रों में बने गहने उनकी दिखावट में एक अनोखे हैं क्योंकि वे विशेषरूप से जनजातीय महिलाओं और पुरुषों के लिए बनाये जाते हैं।
The postcard land of Meghalaya is dotted with many gurgling waterfalls that make for a nice hangout place during your holidays.,मेघालय की पोस्टकार्ड भूमि कई गरजते जलप्रपातों जो अवकाश के दौरान बहुत समय बिताने के लिए एक अच्छा स्थल है के साथ चिह्नित है।
Plan a holiday tour to the land which receives the second highest rainfall in the country.,जो देश में दूसरी सबसे ज्यादा वर्षा प्राप्त करने वाली भूमि की एक अवकाश दौरा की योजना बनाईये।
"Queen Tararani’s palace is run as a school today, behind which is a hostel for the children of the soldiers.","रानी तारारानी का महल आज एक विद्यालय के रूप में चलता है, जिसके पीछे सैनिकों के बालकों के लिए एक छात्रावास है।"
"Quench your thirst with the water of the ancient spring present in the heart of the village, still used by the villagers for their drinking water.","गांव के दिल में उपस्थित एक प्राचीन सोते के साथ अपनी प्यास शांत कीजिए, अभी भी ग्रामीणों के द्वारा उनके पीने के पानी के लिए प्रयोग होती है।"
Rajasthan is famous for its vibrantly colored textiles which adorn the sophisticated boutiques and the prismatic art and craft bazaars across the state.,राजस्थान अपने तड़किले रंगीन वस्त्रों जो जटिल बुटिकों और समार्पाश्रवीय कला तथा राज्य भर में शिल्प बाजारों के लिए प्रसिद्ध है।
Remember to adorn your hands with traditional Rajasthani bangles made of glass and lac and buy knick-knacks that can be good souvenirs for your near and dear ones.,कांच और लाख से बनी पारम्परिक राजस्थानी चूड़ियों के साथ अपने हाथों को सजाना नहीं भूलें और दिखावटी चीजें जो आपके अत्यंत घनिष्ठ मित्रों के लिए अच्छा उपहार हो सकती हैं।
"Take a trip to Bundi to see the Kota-Bundi kalam, one of the famous handicrafts item, which is a curious array of miniature paintings of the late 18th century.","कोटा-बूंदी कलाम को देखने के लिए बूंदी की एक सैर करें, प्रसिद्ध हस्तशिल्प वस्तु में से एक, जो 18 वीं सदी बाद के लघु चित्रों की एक उत्सुक सारणी है।"
"Take motorbike safari tours and while on the bike, it becomes a fascinating experience as it is a real interaction with nature and locals of rural Rajasthan.","मोटरबाइक सफारी दौरा करें और जब आप बाइक पर है, यह एक आकर्षक अनुभव बन जाता है क्योंकि यह एक प्रकृति और ग्रामीण राजस्थान की स्थानीय लोगों के साथ वास्तविक अंतःक्रिया है।"
"The best time to indulge in this sport is during the months of November to February, when the thick blanket of snow covers the entire Uttaranchal valley.","नवम्बर और फरवरी के माह के दौरान इस खेल में लिप्त होना सर्वोत्तम समय है, जब बर्फ का घना कम्बल पूरे उत्तरांचल घाटी को ढकता है।"
The bikers get the opportunity to have close encounters with the locals and so can have a deeper understanding of the people of  Rajasthan.,स्थानीय लोगों के साथ मोटर साइकिल चालक करीब मुठभेड़ करने का अवसर प्राप्त करते हैं और इसलिए राजस्थान के लोगों की एक गहरी समझ रख सकते हैं।
"If you fly into Jaipur, you can hire a car and drive a couple of hours (145 km) to Ranthambhore.","यदि आप जयपुर के लिए उड़ते हो तो, आपको एक कार किराये पर ले और रणथम्बोर के लिए घंटों के एक जोड़े पर चल सकते हैं।"
"Shahu Maharaj, a devout follower of Shivaji the Great, whenever camping at Panhala never missed paying homage to his great ancestor at this site.","शाहु महाराज, शिवाजी महाराज का एक सच्चा अनुचर, जब भी पन्हाला का तम्बू लगाये इस स्थल पर उसके महान पूर्वज को श्रद्धांजलि अर्पित करना कभी नहीं छोड़े।"
"The Maharajah Sawai Madho Singh used to invite royal dignitaries to this leisure palace, who usually rocked the ambience with their adventure autobiographies.","महाराजा सवाई माधो सिंह अक्सर शाही सम्मानितों को इस अवकाश महल के लिए आमंत्रित करते थे, जिसने आमतौर पर उनके साहसिक आत्मकथाओं के साथ माहौल को हिलाकर रख दिया।"
"The mania multiplied over the decades and today, Anjuna Beach enjoys the pleasure of hosting the world-famous full-moon parties that swiftly take one on to a trance trip.","दशकों और आज से बहुगुणित उन्माद, अंजुना समुद्री तट विश्व-प्रसिद्ध-पूर्ण-चन्द्रमा-पार्टियां की मेजबानी की खुशी का आनन्द लेता है जो किसी को तेजी से अवचेतन की सैर पर ले जाती है।"
The master artisans who come to these fairs to sell their goods create a chance for you to grab as many things as possible as here you get the products with the best bargains.,मुख्य कलाकार जो इन मेलों में अपना सामान बेचने आते हैं आपके लिए  जितनी संभव हो उतनी वस्तुएं झपटने का एक अवसर बनाते हैं यहां आप सबसे अच्छे मोलभाव के साथ उत्पाद प्राप्त करते हैं।
"The morning ceremony at the Eklingji Temple in Udaipur is a must see, where the deity is worshipped in both Vedic and Tantrik styles at 4 am in the morning.","उदयपुर में एकलिंगी मंदिर में सुबह का अवसर जरूर देखना चाहिए, जहां श्रद्धालु सुब 4 बजे में दोनों वेदिक और तांत्रिक विधि में पूजा करते हैं।"
"The new entrants such as Copper Chimney and Moti Mahal Deluxe have found many gourmets but the old and the perennial like Hot Millions, Mehfil, Kwality, still rule the taste buds of the city dwellers.","नया सदस्य जैसे ताम्बे की चिमनी और मोती महल डिलक्स बहुत स्वादिष्ट भोजन पसंद करने वाले पा चुके हैं, परंतु पुराने और स्थायी जैसे गर्म लाखों, महफिल, क्वालिटी, शहर के निवासियों के स्वाद कलिकाओं पर अभी भी राज करती हैं।"
The paintings usually portray Hindu Gods and Goddesses because this superb cult of art flourished at a time when fine-looking and striking temples were being constructed by rulers of several dynasties.,चित्र अक्सर हिन्दू देव और देवियों को दर्शाते हैं क्योंकि इस शानदार कला के उपासक एक समय पर फले-फूलें थे जब कई राजवंशों के शासकों के द्वारा सुंदर-दिखने और असाधारण मंदिरों का निर्माण किया जा रहा था।
"We can't start planning when we are bursting at the seams, he says.","शेखावटी की जादुई भमि में आपका स्वागत है, भारत का एकमात्र स्थान जहां दिवारें चित्रफलक के रूप में प्रयोग की जा रही हैं, जहां चित्र खुद स्थानीय लोगों की तुलना में अधिक बोलते हैं।"
"While traveling on Mumbai Bangalore National Highway, there comes a winding road through the arduous Khopoli - Khandala Ghat.","की जाने और देखने वाली सभी गतिविधियों के साथ आप एक स्वप्न सच होना महसूस करोगे, इसलिए राज्य की एक अवकाश सैर की योजना बनाइये और अपनी यात्रा को सबसे अधिक आकर्षक बनाइये।"
"You can cherish both the traditional Indian cuisine and the international cuisine at its two restaurants, Bellevue and Esphahan.","आप जानकर आश्चर्यचकित होगें कि बहुत से अनुष्ठान इन पवित्र शहरों अल्लाहबाद, वाराणसी के गंगा घाटों और अयोध्या वृंदावन के मंदिरों तथा प्रसिद्ध बौद्ध स्थलों के चारों ओर घूमते हैं।"
"You can stroll out to Dilwara from the town in less than an hour, or can get a shared taxi from the opposite of Madras Cafe, in the center of the town.","इस पारसी आदमी के बारें में आप आकर्षित हो जायेगें, 16 में अनाथ और फलोद्यान और एक पवनचक्की का उत्तराधिकारी, जिसने एक दरवेश के साथ एक अचानक भेंट से एक साधु बनना पसंद किया।"
"Another 1 km down the Almora road is Majhkhali, which too is an idyllic picnic spot.","जैसे ही आप रानीखेत पहुंचते हैं, हिमालय का विहंगम दृश्य जो आपका रास्ता काटेगें का आनन्द लेने के लिए अपनी आंखें चौड़ी खोले रखें।"
"As you approach Ranikhet, keep your eyes wide open to enjoy the panoramic views of the Himalayas that will cross your way.","प्रसिद्ध ऊंट सफारी का आनन्द लें जो अक्सर केवल एक दिन से कई की श्रेणियां है और आपकी राजस्थान के चारो ओर की यात्रा करवा सकती है, यदि आप चाहो।"
Awe inspiring snow peaks and mountain streams running below the pine trees are attractions that will make you lose yourself to nature.,"किले के पीले बलुईपत्थर के साथ सूर्य भी छेड़खानी करता है, तड़के में शहद जैसे पीला, सुबह में ऊंट जैसा पीला, और गोधूलि के दौरान बालुई पीला रंग जोड़ते हुए इसको बदलता है।"
"Enjoy the famous camel safari which usually ranges from just a day to several ones and can make you travel round Rajasthan, only if you wish.",शाम में चांदनी चौक की गलियों की एक यात्रा करें जहां एक आकर्षक रिक्शा जेवरों की दुकानों में खरीदारी के साथ साथ आपको मंत्रमुग्ध सवारी करवायेगा।
"So, it is not incredible to believe that there is probably more heterogeneity of religions and creeds in India, than anywhere else in the world.","इसलिए, यह विश्वास करने के लिए अतुलनीय नहीं है कि वहां भारत में दुनिया में कहीं भी की तुलना में, शायद धर्मों और सम्प्रदायों की बहुत विविधता है।"
"Even the sun flirts with the yellow sandstone of the fort, redressing it in honey yellow at dawn, camel yellow in the morning and adding a tint of sand yellow during dusk.","यहां से, हम आपको पुरानी दिल्ली चलते हैं जहां रिक्शा नई सड़क पर सवारी करता है आपको अपनी पसंद के जेवर और पुस्तकें चुनने का अवसर देता है।"
"So, it is absolutely inevitable for you to engage in adventure trips as this package makes it a must for everyone to experience adventure of some sort or the other.",एक एक त्वरित अंतराल ले और तब महात्मा गांधी की स्मृति की एक यात्रा जहां आप इस महान आदमी को श्रद्धांजलि अदा करने का एक अवसर प्राप्त करते हैं के साथ दिल्ली के दर्शनीय स्थानों की यात्रा पुनः आरंभ कर करना।
"Step inside and you will be overwhelmed to see impressive works of slatted wood, carved furniture and knick-knacks embellishing the painted walls, a placard of the rich cultural heritage of Goa.",अंतराल लें और तट की ओर नारियल पानी का एक घूंट लेने के लिए लौटें ताकि आप ठण्डी हवा जो आपकी आत्मा का पोषण करती है में सुस्ताकर आनन्द ले सकते हैं।
Take a quick break and then resume sightseeing of Delhi with a visit to the memorial of Mahatma Gandhi where you get a chance to pay your homage to this great man.,"पवित्र वातावरण हर किसी को देवताओं की सोचा में तल्लीन होने के लिए शामिल करता है, कुछ अपने हाथों में गुलाब के साथ प्रार्थना कर रहे हैं, जबकि अन्य धार्मिक आख्यान और भक्तिमय भजन सुनने में व्यस्त हैं।"
Take breaks and return to the shore to have a sip of coconut water that you can enjoy by idling in the cool breeze that nourishes your spirit.,"हिमाचल प्रदेश का दौरा करने का सबसे अच्छा समय अक्टूबर माह के दौरान हैं, जब राज्य में प्रसिद्ध कुल्लु दशहरा मनाया जा रहा होता है।"
"The  holy environment involves everyone to be engrossed in the thought of gods, some are praying with a rosary in their hand, while others are busy listening to religious discussions and devotional singing.",हिमाचल प्रदेश का प्रसिद्ध पर्वत स्थल मनोरम दृश्य और विभिन्न प्राकृतिक परिदृश्य पेश करते हैं जो इस भारतीय सौंदर्य को उचित ख्याति देने में महत्वपूर्ण भूमिका निभाई है।
"Tourists can also visit Kolaba Fort, which is a few miles away from the shore.","नगीना महल के चारों ओर घूमें, शाही औरतों के लिए हरम के रूप में बना, ज़ीना मीना बाजार जहां रानियां खरीदारी करती थी और मनोहर दिवाने-ए-खास, जहां राजा अपने उच्चाधिकारियों के साथ चर्चा करता था।"
"Walk on the green lawns of this tomb and then drive towards the Akshardam temple, the temple that claims to be the bastion of Hinduism in India.","सैम रेत के टिब्बों पर सूर्यास्त के दृश्य देखें, क्योंकि यह बहुत सम्मोहित करने वाला दृश्य हैं और सूर्य यहां कमजोर रेगिस्तानी भूमि को अपने आप को सौंपता हुआ प्रतीत होता है।"
Such requisition should be given to the Station Master of the intermediate station 72 hours before the scheduled departure of the train from the station.,ऐसे माँग-पत्र स्टेशन से गाड़ी के निर्धारित प्रस्थान समय से 72 घंटे  पहले माध्यमिक स्टेशन के स्टेशन मास्टर को दिया जाना चाहिए।
"Watch sunset views on Sam sand dunes, as it is a very enthralling sight and the sun here gradually seems to submit itself to the tenuous desert land.","सभी आईएटीओ सक्रिय सदस्य और सबसे संबद्ध तथा पर्यटन मंत्रालय, भारत सरकार द्वारा मान्यता प्राप्त अन्य सदस्य, जो एक विशेष दौरा संचालक को मान्यता देने के लिए अपने स्वयं के बहुत कड़े दिशा निर्देश रखते हैं।"
"All the caves were empty, except for a few, whose inhabitants comprised of herds of goats, looking for shelter.",सभी स्थान जो एक पर्यटक कस्बे के 40 किमी के दायरे में खोजने की इच्छा कर सकता है।
"All the four seasons give one or the other reason to enjoy the tour to Uttar Pradesh especially festivals, fairs and the fruits are the wonderful  attractions.",सभी तीनों आदिवासी समाज के मातृवंशीय प्रणाली का अनुगमन करते हैं जहां वंश और पैतृक सम्पति माता से पुत्री प्राप्त होती है।
All the places that a tourist might wish to explore are within a 40 km radius of the town.,"राज्य को घूमने वाले सभी पर्यटक अपने दौरे की सावधानी से योजना बनानी चाहिए, क्योंकि यहां आपकी सांसों को दूर ले जाने के लिए ऐतिहासिक संरचनाओं की बहुत बहुलता है।"
All the three tribes follow the matrilineal system of society where the lineage and ancestral property pass down from mothers to daughters.,सभी पर्यटक जो यहां घूमने की योजना बनाते हैं सूर्यास्त बिंदू या मुम्बई बिंदू प्रथम शिखर पर हैं।
"All the tourists visiting the state should plan their tour cautiously, as there are a plethora of historical structures here to take your breath away.",ये सभी अपने आप में इतने अपवादस्वरूप और उत्तेजक हैं कि वन्यजीव क्षेत्र बार – बार पुनः घूमने के लिए बाध्य हो जाओगे।
"﻿All these beaches, which were not that popular till some time back are fast emerging as favorite destinations for water enthusiasts and tent holidays.","﻿ये सभी समुद्रीतट, जो कि कुछ समय पहले तक लोकप्रिय नहीं थे जल उत्साहियों और तम्बू अवकाशों के लिए पसंदीदा गंतव्यों के रूप में तेजी से उभर रहे हैं।"
"Buses will disembark you at the main bus stand if you happen to be coming from Alleppy, Trivandrum, Kollam and  Coimbatore.","यदि आप अल्लेप्पी, त्रिवेंद्रम, कोल्लम और कोयंबटूर से आ रहे हो तो बसें आप मुख्य बस स्टैंड पर उतार देगीं।"
"Aloft his beams now bring the good, who knows all creatures that are born, that all may look upon the sun.","इसकी किरणों के ऊपर अब अच्छा लाती हैं, जो सभी प्राणियों जो जन्में हैं को जानता है, जो सभी सूर्य के समान हैं।"
"Along with the amazing structures of the city, it is the cheerful people that further enhance the attractiveness of the city.","शहर के आश्चर्यजनक संरचनाओं के साथ, यह प्रसन्न लोग हैं जो आगे शहर की आकर्षण को बढ़ाते हैं।"
"Also described as the great stupas, this is the one that was built by the emperor Ashoka himself.","महान स्तुप के रूप में भी वर्णित, यह एक है जो सम्राट अशोक के द्वारा स्वयं बनवा गया था।"
"Also known as the City of Palaces, Mysore retains a quaint charm that never fails to enchant.","महलों के शहर के रूप में भी प्रसिद्ध, मैसूर एक विचित्र आकर्षण बरकरार रखता है जो मंत्रमुग्ध करने में कभी विफल नहीं होता है।"
"Also known as the Greenwich of India, it is a land that is interwoven with myths and beliefs.","भारत के ग्रीनविच के रूप में प्रसिद्ध, यह भूमि है जो मिथक और विश्वास के साथ गूंथी हुई है।"
"All these names are a tribute to the presiding deity 'Padmanabha Swamy', whose temple has shone like a 'gem of purest ray' in the heart of this old city.","ये सभी नाम इष्टदेव 'पद्मनाभ स्वामी' को श्रद्धांजलि है, जिसका मंदिर इस प्राचीन शहर के हृदय में ‘शुद्धतम किरण की मणि’ के समान चमक गया है।"
"Also view the Reptile House, Snake Park and Children’s Corner while your stay here and then return to the hotel for overnight stay.","सरीसृप घर, सांप उद्यान और बालकों के कोने को भी देखें जब आप यहां ठहरते हैं और तब रात्रि ठहराव के लिए होटल लौट जायें।"
"Also, sing Mappila Pattu and Oppana that are favourite pastimes of Muslims here.","इसके साथ ही, सिंह माप्पिला पुट्टु और ओप्पाना जो यहां मुसलमानों के पसंदीदा मनबहलाव हैं।"
"Although in ruins today, this capital city once boasted riches known far beyond the shores of India.","यद्यपि आज खण्डहरों में, यह राजधानी शहर कभी समृद्धि भारत के तट के उस पार भी प्रसिद्धी की शेखी बघारता था।"
"Although much less in number, the Jews still have their synagogue in Mattancherry endorsing a long history.","हालांकि संख्या में बहुत कम, अभी भी माटनचैरी में यहूदी अपने लम्बे इतिहास को समर्थन करते हुए सिनागोज रखते हैं।"
"Although the culture of Kerala is racing fast to catch up with the pace of modernity, the people still hold their age-old traditions close to their heart.","यद्यपि आधुनिकता के कदमों को पकड़ने के लिए केरल की संस्कृति तेजी से दौड़ लगा रही है, अभी भी लोग अपनी काल-पुरानी परम्पराओं को अपने दिल के पास रखते हैं।"
"All these temples stand on a level area, which is called the Chaurasi after the 84 Siddhas who are believed to have meditated in Bharmaur over 1000 years ago.","सभी मंदिर एक समतल क्षेत्र पर खड़े हैं, जो 84 सिद्धों के पीछे जो 1000 वर्ष पहले से भरमोर  में तपस्या करते हुए माने जाते हैं चौरासी पुकारे जाते है।"
"Although, Maharashtrian cuisines are a bit strong in pepper and spice, but it is the speciality of the dishes of this state that the world knows about.","इसके साथ ही, मराठी मिर्च और मसालों में थोड़ा सा भारी है, किंतु यह राज्य के जिनको दुनियां जानती हैं व्यंजनों की विशेषता है।"
Alwar travel and tourism will find you gazing at some prehistoric and historic sites that are an archaeologist's delight.,अलवर यात्रा और पर्यटन आपको कुछ प्रागऐतिहासिक और ऐतिहासिक दृश्य जो पुरातत्त्वविद् का आनन्द है को अवलोकन करते हुए खोज लेगा।
"Ambalappuzha Sree Krishna Temple, built in the typical Kerala architectural style, is famous all over India for the Palpayasam, the daily offering of deliciously sweet milk porridge.","अम्बालाप्पुझा श्री कृष्णा मंदिर, विशिष्ट केरल स्थापत्य शैली में बना, अपने पलपायसम, रोजाना प्रदान किये जाने वाले स्वादिष्ट रूप से मीठे दूध दलिया के लिए पूरे भारत में प्रसिद्ध है।"
"Ambar, Barking Deer, Gaur and the four-horned antelope are some of the animals that are easily sighted from here.","अम्बर, भौंकते हिरण, गौर और चार सींग वाले मृग कुछ जानवर हैं जो यहां आसानी से दृष्टिगोचर होते हैं।"
Amidst Assam's verdant lushness are two important game sanctuaries.,आसाम की हरिभरी सघनता के बीच में दो खेल अभ्यारण्य हैं।
Amidst the ebullient festivity prevails the contrast variety of handicrafts that add charisma and uniqueness to Madhya Pradesh.,प्रफुल्लित उत्सव के बीच में जो मध्य प्रदेश का करिश्मा और विशिष्टता जोड़ते हस्तशिल्प की विविधता भेद प्रचलित है।
"Among all the birds, which plan to dwell at Bharatpur, they are the highly endangered species that commit a week of perilous flight to reach the favoured Keoladeo sanctuary.","सभी पक्षियों के बीच में, जो भरतपुर में रहने की योजना बनाते हैं, वे अत्यधिक लुप्तप्राय प्रजातियां जो पसंदीदा केवलादेव अभ्यारण के लिए एक सप्ताह की संकटपूर्ण उड़ान के लिए प्रतिबद्ध हैं।"
All these wild beasts can be viewed while driving along the 150 km long roads maintained inside the sanctuary.,ये सभी वन्य पशु जो अभ्यारण्य के अंदर अनुरक्षित 150 किमी लम्बी सड़क की यात्रा के दौरान देखे जा सकते हैं।
"Among the many building and temples that dot the landscape of Agartala, Ujjayanta Palace dominates the skyline.","कई इमारतों ओर मंदिरों के बीच में जो अगरतला के भूदृय पर चिन्हित, उज्जयंत महल आकाश रेखा को पराजित करता है।"
"Among the museums is this one which is merited for fine collection of sculptures, inscriptions and prehistoric antiquity.","संग्रहालयों के बीच में है यह एक जो मूर्तियां, शिलालेख के सुंदर संग्रह और प्रागैतिहासिक पुरातनता के लिए उत्कृष्ट है।"
Belur in Hassan district is famous for its magnificent Hoysala Temple complex.,हासन जिले में बेलुर अपने शानदार होयसल मंदिर परिसर के लिए प्रसिद्ध है।
"An example of the Greco-Buddhist style of architecture, see the exquisite carvings over the pillar that is worth a note.","स्थापत्य की यूनानी-बौद्ध शैली का एक उदाहरण, स्तम्भ पर एक उत्तम नक्काशियां देखें जो एक लेख के योग्य है।"
"Thenmala is the meeting point of Kollam-Shencottah road and Trivandrum-Shencottah road, surrounded by dense forest, 66 kms east of Kollam.","कोल्लम से 66 किमी घने जंगलों से घिरा हुआ, थेनमाला कोल्लम-शेनकोटाह सड़क और त्रिवेन्द्रम-शेनकोटाह सड़क का मिलन बिंदू है।"
An inscription nearby states that it was hewn from a single boulder in 1528 during the reign of Krishnadeva Raya.,पास ही का एक शिलालेख व्यक्त करता है कि यह 1528 में कृष्णदेव राय के शासनकाल के दौरान एक ही शिलाखण्ड को काटकर बनाया गया था।
An inscription next to the temple reveals that the Nagzari was created during the reign of Ibrahim Adilshah by Dawood Aka.,मंदिर के आगे का एक शिलालेख प्रकट करता है कि नगजारी इब्राहिम आदिलशाह के शासनकाल के दौरान दाऊद आका के द्वारा रचा गया था।
"An obelisk in the fort marks the place where he fell, betrayed by his own men.","किले में एक चौखूंटा मीनार स्थान को चिह्नित करती है जहां वह गिर गया था, अपने स्वयं के लोगों के द्वारा धोखा दिया गया।"
"All those who are looking for some shopping treat in Uttaranchal should visit during the Uttarayani fair, which is supposed to be the commercial fair of Uttaranchal.","वे सभी जो उत्तरांचल में कुछ खरीरदारी दावत की तलाश में है उत्तरायनी मेले के दौरान यात्रा करनी चाहिए, जो उत्तरांचल का व्यावसायिक मेला माना जाता है।"
Walk on the land and you will not stop gawking at the stupas that will send shivers down your spine.,भूमि पर चलें और आप स्तूपों को घूरना नहीं रोकेगें जो आपकी रीढ़ में कंपकपी प्रेषित करेगें।
Bhaga covered about 60 kms. distance which was very difficult.,"भागा लगभग 60 किमी ढकता था, दूरी जो बहुत मुश्किल थी।"
"Bhopal also has a major rail junction that connects it to the various parts of the country by regular trains from Delhi, Mumbai, Chennai and Kolkata.","भोपाल भी एक प्रमुख रेलवे जंक्शन रखता है जो इसको नियमित ट्रेनों के द्वारा दिल्ली, मुम्बई, चैन्नई और कोलकाता से देश के विभिन्न भागों से जोड़ता है।"
Bhopal too has multi-storeyed shopping malls from where tourist can buy all kinds of luxury items.,भोपाल बहु-मंजीले खरीददारी माल्स भी रखता है जहां पर्यटक सभी प्रकार शानदार सामान खरीद सकते हैं।
"Bhopal, which is the nearest town around 46 kms away, serves the purpose of an airport.","भोपाल, जो लगभग 46 किमी दूर सबसे पास का कस्बा है, एक हवाई अड्डे के उद्देश्य से कार्य करता है।"
Bhopal is a name that is an amalgamation of the Hindu and Muslim cultures.,भोपाल एक नाम है जो हिन्दू और मुस्लिम संस्कृति का एक मिश्रण है।
"Bidri is a form of surface ornamentation, in black colour, which never fades and is relieved with silver and gold inlay.","बीदरी सतह अलंकरण का एक रूप है, काले रंग में, जो कभी कुम्हलाता नहीं और चांदी और सोने की जड़ाई के साथ भारमुक्त करता है।"
Bidriware and semiprecious stones are other things that you can shop for in this city.,बीदरीवारे और मध्यम मूल्यवान पत्थर अन्य वस्तुएं हैं जो आप इस शहर में खरीद सकते हैं।
"Bikaner in Rajasthan, India is still preserving the medieval magnificence that was once the hallmark of the state.","राजस्थान में बीकानेर, भारत अभी भी मध्ययुगीन भव्यता के संरक्षण कर रहा है जो कभी राज्य का प्रमाण चिह्न थी।"
Bikaner travel and tourism brings you across some splendid forts and palaces that serve as a legacy of the rich heritage of the city.,बीकानेर यात्रा और पर्यटन आपको कुछ शानदार किलों और महलों के पार ले जाते हैं जो शहर के समृद्ध धरोहर को विरासत के रूप में पेश करते हैं।
